Rank,Model,Test_AUC,Test_AUPRC,Test_F1,Test_Recall,Notes
1,XGBoost (GRU EHR),0.641,0.356,0.00,0.00,Best AUC but no recall
2,Gated Fusion (GRU),0.638,0.350,0.29,0.52,Baseline multimodal
3,Early Fusion MLP (HPO),0.638,0.354,0.35,0.58,Strong balanced
4,E2E Gated Fusion,0.625,0.353,0.41,0.75,Best F1 (neural) - HPO in progress
5,GNN (GraphSAGE),0.596,0.319,0.41,0.72,High recall alternative
