Model,Embeddings,AUROC,AUPRC,F1,Precision,Recall,Threshold,Notes
XGBoost + Transformer,Transformer,0.640,0.358,0.375,0.302,0.495,0.50,Best overall AUROC
Gated Fusion,Transformer,0.632,0.339,0.371,0.305,0.471,0.50,Second best AUROC
XGBoost,GRU,0.614,0.309,0.324,0.268,0.412,0.50,Baseline with GRU embeddings
GNN (fixed),GRU,0.596,0.305,0.406,0.280,0.718,0.505,Best F1 and Recall after threshold fix
Early Fusion,Transformer,0.599,0.298,0.290,0.267,0.316,0.50,Lowest F1
